1957,0.08,4.68,2.68,5.04,10.11,5.82,9.54,16.58,3.32,7.64,2.54,2.84,70.87
1958,5.67,1.54,5.16,0.85,18.14,6.54,6.58,8.4,4.82,4.15,3.68,6.39,71.92
1959,2.21,2.32,4.85,2,6.16,20.56,8.2,8.18,12.98,7.62,13.15,1.1,89.33
1960,0.19,2.2,0.67,10.21,3.3,6.31,5.27,4.15,24.4,10.54,2.36,0.5,70.1
1961,5.12,0.63,1.91,0.56,6.81,10.48,1.91,4.68,3.4,3.92,2.15,0.13,41.7
1962,1.46,0.13,2.78,1.19,0.92,10.36,3.74,8.02,7.82,1.5,4.15,0.2,42.27
1963,0.65,3.45,0.73,0.33,6.34,6.8,1.77,4.77,11.12,4.43,1.43,4.26,46.08
1964,0.45,2.21,0.5,3.31,4.67,10.48,5.51,9.84,4.22,9.77,3,6.24,60.2
1965,1.98,2.98,3.97,1.2,0.44,6.55,6.56,4.97,11.38,16.79,0.96,0.62,58.4
1966,3.97,6.56,3.25,1.8,5.53,21.37,8.5,7.62,8,10.88,3.84,0.74,82.06
1967,2.75,1.14,3.6,0.15,1.68,15.98,5.55,8.13,9.18,12.88,3.81,1.37,66.22
1968,1.92,2.77,0.88,1.27,18.54,22.36,6.15,8.34,11.11,8.71,1.21,0.13,83.39
1969,6.66,2.02,1.98,4.63,8.02,11.42,8.48,4.31,8.24,13.57,1.01,1.15,71.49
1970,2.64,1.77,2.61,0.95,10.98,5.53,4.48,3.6,8.89,3.01,0.09,0.17,44.72
1971,0.51,0.8,0.4,0.07,4.13,11.65,4.72,6.02,9.63,7.48,0.98,4.33,50.72
1972,1.6,2.71,3.01,2.67,13.71,10.9,7.13,6.49,5.08,2.86,2.77,4.18,63.11
1973,3.41,2.21,1.76,2.24,1.08,8.93,6.14,14.6,6.59,3.36,0.46,2.46,53.24
1974,2.54,0.1,2.27,2.11,2.63,8.12,6.09,9.29,6.38,3.68,4.62,1.17,49
1975,1.39,0.9,0.61,0.53,4.94,6.37,4.99,5.19,4.69,6.25,2.8,0.44,39.1
1976,0.95,3.54,0.23,4.17,10.45,6.81,3.83,9.45,7.75,4.42,2.69,1.61,55.9
1977,1.44,2.1,0.91,1.97,15.82,12.42,5.23,8.28,7.04,1.25,5.94,2.55,64.95
1978,2.07,3.44,2.92,3.5,5.66,5.29,2.69,3.93,3.42,7.68,3.17,2.06,45.83
1979,1.28,0.57,0.3,17.29,5.29,4.06,5.06,4.81,13.36,3.63,1.62,2.84,60.11
1980,1.89,0.88,3.17,10.2,2.14,3.02,9.4,11.32,5.6,6.05,3.47,0.2,57.34
1981,0.61,4.66,1.32,0.05,4.94,5.49,2.78,12.25,14.79,1.62,2.14,0.14,50.79
1982,0.44,1.22,4.22,9.27,8.8,10.82,3.84,5.79,7.62,7.12,7.09,1.18,67.41
1983,5.36,8.07,2.82,1.79,1.44,8.66,6.2,5.88,7.48,3.52,2.01,4.19,57.42
1984,0.18,0.7,6.12,4.51,10.91,7.24,7.38,5.44,10.45,2.35,4.04,0.7,60.02
1985,0.35,0.06,1.35,3.27,3.19,6.33,11.23,11.88,8.59,5.17,1.37,3.47,56.26
1986,5.04,1.72,10.57,0.71,8.24,9.06,7.81,7.67,4.38,3.96,4.75,2.21,66.12
1987,0.87,2.62,3.82,0.38,4.99,5.48,5.17,3.24,10.17,4.33,4.92,4.28,50.27
1988,1.88,0.61,0.39,1.82,5.28,10.36,10.9,7.89,3.09,1.49,0.76,0.12,44.59
1989,0.67,0.71,0.89,2.14,0.99,10.83,3.53,12.78,5.83,2.65,0.99,0.62,42.63
1990,0.24,1.19,2.28,6.96,7.79,6.84,4.31,11.06,3.52,4.82,1.67,1.03,51.71
1991,1.59,2.04,2.32,5.16,2.5,7.51,7.29,8.84,11.17,21.64,1.18,0.18,71.42
1992,1.8,1.49,2.67,2.43,0.55,13.17,4.21,7.22,6.48,2.02,13.84,1.94,57.82
1993,5.04,2.14,5.98,3.08,4.13,3.64,7.28,5.13,12.59,7.23,6.06,0.49,62.79
1994,3.59,5.66,1.94,2.14,4.72,4.97,3.03,16.64,13.5,9.5,8.92,4.95,79.56
1995,3.13,1.41,4.6,3.73,2.94,20.33,6.36,13.13,10.37,9.91,2.53,0.86,79.3
1996,2.33,0.8,1.4,3.37,8.3,11.67,5.25,5.55,7.21,10.1,0.69,1.04,57.71
1997,1.71,1.57,2.06,5.16,9.8,13.18,7.62,6.28,12.47,2.6,2.89,5.27,70.61
1998,1.04,6.62,5.97,0.66,3.45,6.67,5.41,12.48,14.41,5.7,6.66,1.98,71.05
1999,2.99,0.27,0.25,1.46,4.89,11.08,3.6,13.87,7.01,14.55,1.45,2.68,64.1
2000,0.52,1.24,0.35,3.36,1.8,5.19,5.29,7.42,10.58,18.65,0.5,6.15,61.05
2001,0.6,0.05,4.76,1.79,6.1,8.94,6.92,7.27,17.99,13.16,1.42,3.03,72.03
2002,0.22,3.58,0.89,1.32,6.79,15.41,12.76,6.55,6.48,0.72,3.74,3.39,61.85
2003,0.43,0.83,3.89,2.87,11.05,11.94,6.32,9.65,13.18,4.09,6.64,1.24,72.13
2004,2.52,3.08,1.5,4,2.45,6.79,6.74,10.09,10.88,5.54,0.34,0.51,54.44
2005,1.92,0.62,3.97,3.27,7.47,17.6,5,9.27,9.91,5.48,2.7,1,68.21
2006,0.32,3.47,1.1,0.23,8.62,7.05,7.32,12.95,16.73,1.64,1.63,3.11,64.17
2007,0.54,2.13,2.7,5.33,5.28,15.22,9.03,4.44,8.22,9.63,0.66,0.79,63.97
2008,1.25,4.11,5.24,3.78,1.71,9.63,8.93,9.99,7.87,6.51,0.97,0.28,60.27
2009,0.34,0.12,1.78,1.17,7.53,11.64,6.17,7.91,6.83,2.62,2.97,3.01,52.09
2010,0.89,4.69,2.81,8.95,3.42,7.2,7.36,8.75,15.89,1.58,2.35,1.21,65.1
2011,2.54,0.23,1.12,5.36,2.15,12.22,5.71,11.08,4.99,15.52,1.8,1.04,63.78
2012,0.21,3.38,4.97,7.85,14.67,12.56,8.92,15.92,11.03,6.42,0.5,0.51,86.94
2013,0.54,1.85,0.81,5.14,11.03,6.18,12.7,4.43,10.48,6.88,5.73,4.67,70.46
2014,1.91,1.17,2.61,1.18,3.3,19.63,10.3,9.07,7.25,3.25,2.66,1.32,63.65
2015,0.95,2.81,1.32,4.03,2.39,3.6,5.91,9.02,9.97,4.7,7.55,9.82,62.07
2016,7.57,2.85,0.61,1.09,8.27,8.72,4.11,13.77,6.05,9.62,0.94,2.33,65.93
2017,3.4,1.31,3.92,2.16,2.69,15.97,12.45,8.57,14.97,12.61,4.41,0.66,83.12
2018,1.01,0.37,0.19,3.8,16.59,7.89,8.02,9.58,7.89,1.76,2.77,1.58,61.45
2019,2,1.53,1.91,3.16,4.61,12.43,10.54,15.74,3.25,3.93,1.62,6.43,67.15
2020,2.03,2.9,0.1,3.86,18.89,7.11,10.26,7.44,10.92,11.86,9.6,1.6,86.57
2021,0.5,2.9,1.87,2.81,2.68,12.44,8.18,7.29,12.12,4.91,4.38,1.19,61.27
2022,5.98,1.6,2.03,4.66,4.47,15.61,4.81,5.17,12.15,4.85,8.49,1.73,71.55
